#t[s]	dt[s]	p1[mbar]	dp1[mbar]	p2[mbar]	dp2[mbar]	p3[mbar]	dp3[mbar]
0	0	50	0.15	50	0.15	50	0.15
10	0.2	74.2	0.2226	75.5	0.2265	76.1	0.2283
20	0.2	91.2	0.2736	93.1	0.2793	93.4	0.2802
30	0.2	108.2	0.3246	110.4	0.3312	110.9	0.3327
40	0.2	125.1	0.3753	127.8	0.3834	128.2	0.3846
50	0.2	142	0.426	145.1	0.4353	145.5	0.4365
60	0.2	159	0.477	162.6	0.4878	162.9	0.4887
70	0.2	176.3	0.5289	181.5	0.5445	180.2	0.5406
80	0.2	194.5	0.5835	197.1	0.5913	197.5	0.5925
90	0.2	208.9	0.6267	215.3	0.6459	218.7	0.6561
100	0.2	227.6	0.6828	232.4	0.6972	233.2	0.6996
110	0.2	244.5	0.7335	250	0.75	250.6	0.7518
120	0.2	261.5	0.7845	267.4	0.8022	267.9	0.8037
130	0.2	280	0.84	284.8	0.8544	285.2	0.8556
140	0.2	293.4	0.8802	302.2	0.9066	302.5	0.9075
150	0.2	310.6	0.9318	319.4	0.9582	319.8	0.9594
160	0.2	329.2	0.9876	336.8	1.0104	337.4	1.0122
170	0.2	346.2	1.0386	354.2	1.0626	354.7	1.0641
180	0.2	363	1.089	371.5	1.1145	370.1	1.1103
190	0.2	379.9	1.1397	388.8	1.1664	387.5	1.1625
200	0.2	396.7	1.1901	405.9	1.2177	406.5	1.2195
